name,bookid,
Various,270,
Thomas H. Huxley,271,
Theodor Mommsen,272,
William Jefferson Clinton,273,
Roger McGuinn,274,
Gustave Flaubert,275,
Various,276,
Roger McGuinn,277,
Percy Keese Fitzhugh,278,
John Nichol,279,
Various,280,
Caxton,281,
Percival Christopher Wren,282,
Various,283,
Laura Lee Hope,284,
Roger McGuinn,285,
Victor Bridges,286,
Theo. Stephenson Browne,287,
William C. Bullitt,288,
Venture Smith,289,
H. G. Wells,290,
Margaret O. (Wilson) Oliphant,291,
Dante Alighieri,292,
S. M. Edwardes, C.V.O.,293,
Theodor Mommsen,294,
James M. Beck,295,
Edith Van Dyne,297,
Pat O'Cotter,298,
Roger McGuinn,299,
Roger McGuinn,300,
A C and F T Gregory,301,
Various,302,
Homer Greene,303,
Various,304,
Thaddeus Mason Harris,305,
Kate Dickinson Sweetser,306,
George Tyrrell,307,
Hildegard G. Frey,308,
Various,309,
Jose Rizal,310,
Louis Tracy,311,
Various,312,
William Hope Hodgson,313,
Various,314,
Roger McGuinn,315,
Roger McGuinn,316,
Baruch Spinoza  [Benedict de Spinoza],317,
Theodor Mommsen,319,
Jeffery Farnol,320,
Edward Eggleston,321,
(AKA Charlotte Bronte) Currer Bell,322,
Elizabeth Moxon,323,
by (AKA B. M. Sinclair) B. M. Bower,324,
Mrs. O. F. Walton,325,
R. Austin Freeman,326,
Arthur Sullivan,327,
John Lord,328,
John Lord,329,
Roger McGuinn,330,
Ethel Cook Eliot,331,
John Lord,333,
Roger McGuinn,334,
Horatio Alger, Jr.,335,
Dante Alighieri,336,
Francis Parkman, Jr.,337,
Creever & Bachelor,338,
Burton Egbert Stevenson,339,
Jack London,340,
Theodor Mommsen,341,
Anonymous,343,
Various,344,
Isabel Ecclestone Mackay,345,
Robert Valentine Dolbey,346,
William MacLeod Raine,347,
Howard Pyle,348,
James Fenimore Cooper,349,
Various,350,
J. Sheridan Le Fanu,351,
Karl Stephen Herrman,352,
Various,353,
Lucius Seneca,354,
Ulysses S. Grant,355,
Magnay, William,356,
Edgar Allan Poe,357,
Roger McGuinn,358,
Herbert George Wells,359,
Various,360,
Mary King Waddington,361,
W.W. Jacobs,362,
Zane Grey,363,
Thomas Troward,364,
David Grayson,365,
Earl Wayland Bowman,366,
Louisa M. Alcott,367,
Roger McGuinn,368,
William Hope Hodgson,369,
Various,370,
Tomas de Comyn,371,
Roger McGuinn,372,
Edgar Allan Poe,373,
John Muir,374,
Giovanni Boccaccio,375,
Henry van Dyke,376,
Charles Kingsley,377,
Frederic Stewart Isham,378,
Harry Leon Wilson,379,
Robert Kerr,380,
Thomas F. A. Smith,381,
Various,382,
Max Brand,383,
Edith Van Dyne,384,
E. Ernest Bilbrough,385,
Various,386,
Unknown,387,
John Fiske,388,
Martha Summerhayes,389,
J. Sheridan LeFanu,390,
Various,391,
George Tucker,392,
Unknown,393,
Ernest Bramah,394,
Aphra Behn,395,
Edgar Allan Poe,396,
E. Phillips Oppenheim,397,
Lydia Maria Francis Child,398,
J.S. Fletcher,399,
Zona Gale,400,
Elizabeth McCracken,401,
Percy Greg,402,
Nellie McClung,403,
Edmund Spenser,404,
John Locke,405,
Mahatma Gandhi,406,
Arthur Thomas Quiller-Couch,407,
David Hume,408,
Edgar Allan Poe,409,
Elizabeth Robins (C. E. Raimond),410,
Ernest Bramah,411,
William Hayley,412,
George Eliot,413,
Lindsay, Anna Robertson Brown,414,
